sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	handling-time
14437VC	18,95	9,47	37,9	39		
14438VC	18,95	9,47	37,9	5		
14465VC	18,95	9,47	37,9	125		
14716VC	18,95	9,47	37,9	118		
14722VC	18,95	9,47	37,9	51		
14447VC	18,95	9,47	37,9	13		
14450VC	18,95	9,47	37,9	81		
14458VC	18,95	9,47	37,9	85		
14459VC	18,95	9,47	37,9	69		
14463VC	18,95	9,47	37,9	37		
14469VC	18,95	9,47	37,9	10		
14474VC	18,95	9,47	37,9	78		
14428VC	18,95	9,47	37,9	65		
14439VC	18,95	9,47	37,9	59		
14451VC	18,95	9,47	37,9	88		
14473VC	18,95	9,47	37,9	26		
14475VC	18,95	9,47	37,9	72		
14483VC	18,95	9,47	37,9	59		
14485VC	18,95	9,47	37,9	86		
14466VC	18,95	9,47	37,9	215		
14470VC	18,95	9,47	37,9	66		
14471VC	18,95	9,47	37,9	38		
14481VC	18,95	9,47	37,9	0		
14718VC	18,95	9,47	37,9	102		
14719VC	18,95	9,47	37,9	78		
14723VC	18,95	9,47	37,9	135		
14726VC	18,95	9,47	37,9	63		
14442VC	18,95	9,47	37,9	53		
14443VC	18,95	9,47	37,9	19		
14467VC	18,95	9,47	37,9	95		
14477VC	18,95	9,47	37,9	97		
14480VC	18,95	9,47	37,9	32		
14482VC	18,95	9,47	37,9	43		
14486VC	18,95	9,47	37,9	139		
14720VC	18,95	9,47	37,9	76		
14444VC	18,95	9,47	37,9	39		
14464VC	18,95	9,47	37,9	38		
14468VC	18,95	9,47	37,9	131		
14476VC	18,95	9,47	37,9	46		
14721VC	18,95	9,47	37,9	90		
14727VC	18,95	9,47	37,9	57		
14440VC	18,95	9,47	37,9	32		
14456VC	18,95	9,47	37,9	88		
14724VC	18,95	9,47	37,9	93		
14433VC	18,95	9,47	37,9	45		
14472VC	18,95	9,47	37,9	25		
14478VC	18,95	9,47	37,9	44		
14484VC	18,95	9,47	37,9	182		
14717VC	18,95	9,47	37,9	91		
14454VC	18,95	9,47	37,9	45		
2692119CLM	38,75	19,38	77,5	0		
7653VCI	10,95	5,47	21,9	0		
7648VCI	9,75	4,88	19,5	0		
1126VC0	142,3	71,15	284,6	0		
984VC0	24,9	12,45	49,8	0		
13032VCT	10,8	5,4	21,6	38		
3589VCT	10,95	5,47	21,9	0		
6677VCT	108,3	54,15	216,6	23		
10352VCT	45	22,5	90	0		
10000VCT	37,5	18,75	75	0		
1658VC	15,95	7,97	31,9	0		
10343VCT	107	53,5	214	71689		
4912VCT	15,8	7,9	31,6	22210		
3696VCT	10,95	5,47	21,9	0		
13420VCT	14,8	7,4	29,6	40		
5703VCT	124,5	62,25	249	17		
2456VCT	7,35	3,67	14,7	0		
13152VCT	23,5	11,75	47	0		
13279VCI	25,9	12,95	51,8	0		
5949VCI	41,4	20,7	82,8	0		
4885VCT	23,3	11,65	46,6	179		
13266VCI	30,7	15,35	61,4	0		
6074VCT	49,8	24,9	99,6	0		
13272VCT	103,5	51,75	207	0		
13133VCI	27,1	13,55	54,2	0		
13136VCI	27,1	13,55	54,2	0		
13130VCT	11,6	5,8	23,2	0		
13126VCI	15,1	7,55	30,2	0		
5085VCT	9,8	4,9	19,6	0		
