ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08WPG9DLR,B08WPG9DLR,Vidal Regalos Vaciabolsillos Plato Madera Diseño Étnico Antiguo Flores Centro Mesa Recibidor 16 cm,24040SGFBA,929,22,0.48%,0.48%,"1,293",28,0.49%,0.45%,100.00%,100.00%,18,0,1.94%,0.00%,"301,50 €","0,00 €",18,0
B0FXVMZ7LV,B09X84SXK2,ROCKING GIFTS Organizador Tela Colgante Pared 4 Bolsillos Bolsa Almacenaje Puerta Armario Beige 75 cm,2786183CLMFBA,"1,341",33,0.70%,0.72%,"1,874",49,0.70%,0.78%,100.00%,100.00%,18,1,1.34%,3.03%,"311,95 €","17,00 €",18,1
B0CJFJLBGS,B09X8GRD8N,ROCKING GIFTS Salvamantel Cerámica Madera Panot Barcelona Gris 20 cm,305441CLMFBA,479,15,0.25%,0.33%,660,21,0.25%,0.33%,99.67%,100.00%,19,1,3.97%,6.67%,"379,81 €","19,99 €",18,1
B0BX7BP34Z,B0BX4NYLQD,"ROCKING GIFTS Termometro Galileo Tubo de Cristal 22 cm, para Exterior o Interior, Analógico, Bolas Flotantes Colores",62157RGSGFBA,545,7,0.28%,0.15%,828,7,0.31%,0.11%,98.52%,100.00%,18,0,3.30%,0.00%,"513,94 €","0,00 €",18,0
B0CTD3QMFP,B0CPKGC1S4,"Globo Terráqueo Vintage 12,5 cm diametro: Explora el Mundo desde tu Escritorio. Bola del Mundo con Base, Mapa Antiguo para Decoración y Aprendizaje. Regalo Educativo para Niños y Adultos",255013CLMFBA,"1,125",40,0.59%,0.87%,"1,694",55,0.64%,0.88%,99.68%,97.44%,20,5,1.78%,12.50%,"576,58 €","141,85 €",18,3
B0CWPLD38B,B0CSKJLXF4,"ROCKING GIFTS Sujeta Puertas, Tope para Suelo, Gato de Peluche, 20 cm, 1,2 Kg de Peso, Sujeta Puertas Tela Relleno Arena Decorativo",22212051CLMFBA,496,11,0.26%,0.24%,694,16,0.26%,0.26%,99.20%,100.00%,18,1,3.63%,9.09%,"378,09 €","20,91 €",18,1
B0BVZFJR91,B07TFBJCZF,ROCKING GIFTS Espejo Decorativo de Pared Plateado 50 cm diametro para Colgar,278438CLMFBA,"2,313",38,1.21%,0.83%,"3,274",44,1.23%,0.70%,99.89%,100.00%,17,0,0.73%,0.00%,"532,70 €","0,00 €",17,0
B0DJ61DGHG,B0BVMTX9V1,"ROCKING GIFTS Taza Mug Té Tisana 330ML con Tapa y Filtro Infusor, Modelo Surtido (1 Unidad), Porcelana Elefante Hindú, con Caja de Regalo, 11 cm",27394SGFBA,652,11,0.34%,0.24%,873,15,0.33%,0.24%,100.00%,100.00%,18,1,2.76%,9.09%,"269,51 €","14,31 €",17,1
B0CC3NZ9C5,B0CC3NZ9C5,"Maza de Mortero Marrón de Madera de Olivo Rústico, Triturador Manual para Moler, Mango Ergonómico, 14 cm",176SGFBA,340,7,0.18%,0.15%,546,8,0.21%,0.13%,100.00%,100.00%,22,7,6.47%,100.00%,"361,69 €","113,19 €",17,2
B0CLH73VPC,B0CL3BJQRG,"ROCKING GIFTS Colgante Drusa de Cuarzo Ahumado: Piedra Natural para Chakras, Meditación y Protección",12605VCFBA,226,4,0.12%,0.09%,313,6,0.12%,0.10%,99.63%,100.00%,17,0,7.52%,0.00%,"169,83 €","0,00 €",17,0
B0CX9MJ5X3,B0CPJTDP5X,"ROCKING GIFTS Juego de Baño de Cerámica con Dispensador de Jabón y Vaso, Set de Baño con Diseño de Rayas en Colores Neutros, Accesorios Elegantes para Lavabo, 17x7 cm",22213081CLMFBA,"1,032",23,0.54%,0.50%,"1,398",35,0.53%,0.56%,99.84%,100.00%,17,0,1.65%,0.00%,"346,22 €","0,00 €",17,0
B0FPQYWW9K,B0D4R7724M,"ROCKING GIFTS Figura de Ganesha en Resina - Estatua Decorativa de 14 cm, Ideal para Hogar y Oficina, Atrae Buena Suerte, Detalles Cuidadosamente Pintados a Mano, Símbolo de Prosperidad y Sabiduría",31442SGFBA,494,3,0.26%,0.07%,784,4,0.29%,0.06%,99.13%,100.00%,20,0,4.05%,0.00%,"445,00 €","0,00 €",17,0
