ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DNY6PMKW,B0DLBR68H9,ROCKING GIFTS Portarollos de Papel de Cocina Madera Acacia 33x13 cm,2676124CLMFBA,30,2,0.02%,0.04%,33,2,0.01%,0.03%,100.00%,0.00%,2,0,6.67%,0.00%,"33,70 €","0,00 €",2,0
B0DV3WKB7R,B0DLBR6BFQ,ROCKING GIFTS Vaciabolsillos Bandeja Cuadrado Hojas 30x12 cm,21821168CLM,659,14,0.34%,0.30%,750,17,0.28%,0.27%,99.86%,100.00%,2,0,0.30%,0.00%,"33,65 €","0,00 €",2,0
B0DNY5SG3M,B0DLBS755Z,ROCKING GIFTS Juego de Cafe Set de 6 Unidades Excellence Rayas 6x200 ml,27761077CLM,146,3,0.08%,0.07%,191,3,0.07%,0.05%,100.00%,100.00%,3,0,2.05%,0.00%,"187,25 €","0,00 €",2,0
B0DNY5X9Z3,B0DLBTCBQG,ROCKING GIFTS Quesera Redonda de Madera con Tapa 19x19 cm,2676122CLM,531,15,0.28%,0.33%,718,20,0.27%,0.32%,99.38%,100.00%,2,1,0.38%,6.67%,"38,51 €","19,06 €",2,1
B0GNZV992Y,B0DLBTQPW8,ROCKING GIFTS Papelera de Baño Metalica 3 litros Tapa Dorada 24x17 cm,2676199CLM,38,1,0.02%,0.02%,47,1,0.02%,0.02%,100.00%,0.00%,2,0,5.26%,0.00%,"55,15 €","0,00 €",2,0
B0DLBTQPW8,B0DLBTQPW8,ROCKING GIFTS Papelera de Baño Metalica 3 litros Tapa Dorada 24x17 cm,2676199CLM,27,4,0.01%,0.09%,36,9,0.01%,0.14%,100.00%,100.00%,2,1,7.41%,25.00%,"53,27 €","26,37 €",2,1
B0DLBTZR4G,B0DLBTZR4G,"ROCKING GIFTS Bote para Utensilios de Cocina en Resina Efecto Mármol Blanco 14×12 cm, Organizador de Cubiertos y Cucharones, Accesorio para Encimera, Portautensilios Diseño Moderno y Elegante",2684338CLM,348,8,0.18%,0.17%,480,10,0.18%,0.16%,100.00%,100.00%,2,0,0.57%,0.00%,"41,05 €","0,00 €",2,0
B0DV3XB2SN,B0DLBVXFTK,ROCKING GIFTS Juego de Vajilla de Cocina 18 Piezas Flor Gris,309903CLM,718,8,0.37%,0.17%,919,8,0.35%,0.13%,98.46%,100.00%,3,0,0.42%,0.00%,"179,85 €","0,00 €",2,0
B0F1TC8LNW,B0F1TC8LNW,"ROCKING GIFTS Diario Comunión Niña x2 Modelos Recuerdo Primera Comunión, Diseño Infantil, Regalo Niña 16x13 cm",26631077CLM,285,1,0.15%,0.02%,378,1,0.14%,0.02%,99.41%,100.00%,2,0,0.70%,0.00%,"29,70 €","0,00 €",2,0
B0GNZRP5NC,B0F1TCHRQ2,"ROCKING GIFTS Hucha Cristal niña 9x9x17 cm. Recuerdo Comunión, Bautizo, Regalo Niña, Detalles Infantil",2139524CLM,424,6,0.22%,0.13%,462,6,0.17%,0.10%,99.32%,100.00%,2,0,0.47%,0.00%,"25,65 €","0,00 €",2,0
B0FL83L5ZX,B0F1TCQW2F,ROCKING GIFTS Felpudo Antideslizante 40x70cm Entrada Hogar Baño Cocina Alfombra Resistente,2857104CLM,68,2,0.04%,0.04%,72,2,0.03%,0.03%,98.59%,100.00%,2,0,2.94%,0.00%,"40,40 €","0,00 €",2,0
B0FPM1NS69,B0F1TD958S,"ROCKING GIFTS Mantel Individual 45x30 cm Alga - Salvamanteles Resistente, Decorativo, Ecológico, Lavable, para Cocina y Mesa",284551CLM,37,4,0.02%,0.09%,38,4,0.01%,0.06%,96.77%,100.00%,3,0,8.11%,0.00%,"39,90 €","0,00 €",2,0
B0DJ5YD8NS,B0F1TDM2CN,ROCKING GIFTS Estropajero con Estropajo x2 Colores Resistente 14 cm Ceramica Limpieza Cocina Utensilio Hogar,2546147CLM,194,2,0.10%,0.04%,246,2,0.09%,0.03%,94.35%,100.00%,3,0,1.55%,0.00%,"45,30 €","0,00 €",2,0
B0FL83L5ZX,B0F1TDQPP8,ROCKING GIFTS Felpudo Skyline Madrid 40x70 Antideslizante Entrada Exterior Interior,306316CLM,116,3,0.06%,0.07%,151,3,0.06%,0.05%,99.27%,100.00%,2,0,1.72%,0.00%,"41,45 €","0,00 €",2,0
B0FL83L5ZX,B0F1TFKDNF,ROCKING GIFTS Felpudo 40x70 EUSKERA Antideslizante Entrada Exterior Interior Casa Hogar Resistente,2857143CLMFBA,48,1,0.03%,0.02%,60,1,0.02%,0.02%,100.00%,0.00%,2,0,4.17%,0.00%,"47,30 €","0,00 €",2,0
B0FPM1NS69,B0F1TGDSF4,ROCKING GIFTS Mantel Individual 40x40 cm Alga Trenzada Resistente Ecológico Decorativo Mesa Comedor,284525CLM,201,11,0.10%,0.24%,248,17,0.09%,0.27%,99.54%,100.00%,2,1,1.00%,9.09%,"31,03 €","15,73 €",2,1
B0FL83L5ZX,B0F1TGK2ZM,ROCKING GIFTS Felpudo 40x70 EUSKERA Antideslizante Entrada Exterior Interior Casa Hogar Resistente,2857142CLM,89,2,0.05%,0.04%,99,2,0.04%,0.03%,98.90%,100.00%,2,1,2.25%,50.00%,"41,05 €","19,80 €",2,1
B0F1TXXXJC,B0F1TXXXJC,"ROCKING GIFTS Papel de Regalo con Rosas, San Valentín o Sant Jordi, Cumpleaños Navidad, Papel Reciclado, 200x70cm",3041300CLM,23,2,0.01%,0.04%,26,2,0.01%,0.03%,100.00%,100.00%,2,1,8.70%,50.00%,"17,27 €","8,77 €",2,1
B0F1TYL9MT,B0F1TYL9MT,"ROCKING GIFTS Reloj de Sobremesa de Metal Dorado, Estilo Moderno, para Escritorio, Salón, Habitación, 20 cm",22212761CLM,175,0,0.09%,0.00%,253,0,0.10%,0.00%,100.00%,0.00%,2,0,1.14%,0.00%,"56,40 €","0,00 €",2,0
B0DJTHDPB9,B0F1TYLNMD,"ROCKING GIFTS Salero de Cerámica Blanca con Tapa de Madera, 12 cm, Bote para Sal y Especias para la Cocina y Reposar en Pared",2546216CLM,420,9,0.22%,0.20%,697,13,0.26%,0.21%,99.38%,100.00%,2,0,0.48%,0.00%,"37,75 €","0,00 €",2,0
B0F1YKD7B3,B0F1YKD7B3,"Set de 4 Sobres de Papel Craft Marrón para Embalaje Fácil de Regalos de Reyes Magos Navidad, 20x30cm",304153CLM,49,0,0.03%,0.00%,66,0,0.02%,0.00%,100.00%,0.00%,2,0,4.08%,0.00%,"17,80 €","0,00 €",2,0
B0F1YMKWHM,B0F1YMKWHM,"ROCKING GIFTS Set de 3 Vasos de Cristal de Reyes Magos de Navidad, Decoración Navideña, Capacidad 520ML, 25 cm",304352CLM,367,1,0.19%,0.02%,454,1,0.17%,0.02%,97.34%,0.00%,2,0,0.54%,0.00%,"53,80 €","0,00 €",2,0
B0F1Z4Q3QN,B0F1Z4Q3QN,ROCKING GIFTS Juego 2 Bandejas 25x34cm Comunión Niño Cartón,309768CLM,70,3,0.04%,0.07%,94,7,0.04%,0.11%,100.00%,100.00%,2,1,2.86%,33.33%,"16,88 €","8,13 €",2,1
B0FX2WN6HV,B0FX2WN6HV,"ROCKING GIFTS Mug Vaca Original, Taza Metalica 7,5x7,5x10cm, Regalo Divertido, Taza Desayuno",41840MD,15,0,0.01%,0.00%,25,0,0.01%,0.00%,100.00%,0.00%,2,0,13.33%,0.00%,"29,80 €","0,00 €",2,0
B0FX32BQF3,B0FX32BQF3, ,41190MD,17,0,0.01%,0.00%,27,0,0.01%,0.00%,96.00%,0.00%,2,0,11.76%,0.00%,"36,60 €","0,00 €",2,0
B0FX3371WW,B0FX3371WW,ROCKING GIFTS Boquilla Denicotea Corta Concha 9mm: para Puros o Cigarrillos,31181MD,49,1,0.03%,0.02%,79,1,0.03%,0.02%,98.48%,0.00%,2,0,4.08%,0.00%,"38,20 €","0,00 €",2,0
B0G3QR4JJ3,B0FZCRJ44C, ,37668VE-AZSGFBA,109,2,0.06%,0.04%,154,2,0.06%,0.03%,100.00%,100.00%,2,0,1.83%,0.00%,"72,00 €","0,00 €",2,0
B0G1J2BG7D,B0G1J2BG7D,ROCKING GIFTS Bolsa de Papel Mediana para Embalaje Fácil de Regalos de Sant Jordi con Etiqueta para Nombre 18x10x23 cm,2185799CLM,22,2,0.01%,0.04%,28,2,0.01%,0.03%,100.00%,100.00%,6,0,27.27%,0.00%,"51,00 €","0,00 €",2,0
B0G1J43ZVX,B0G1J43ZVX,ROCKING GIFTS Set de x3 Bote De Cristal Pequeño Hermético Estilo Boticario Vintage Farmacia Capacidad 250ML Tarro de Almacenamiento con Etiquetas Retro para Té Especias y Condimentos de Cocina,309548CLM,118,4,0.06%,0.09%,168,4,0.06%,0.06%,100.00%,100.00%,2,0,1.69%,0.00%,"41,05 €","0,00 €",2,0
B0G2JMP97T,B0G2JMP97T,ROCKING GIFTS Juego de 6 Pinzas Sant Jordi de Madera 4.5 cm para Manualidades Decoración Detalles y Recuerdos Originales,21821184CLM,209,15,0.11%,0.33%,236,16,0.09%,0.26%,100.00%,100.00%,4,1,1.91%,6.67%,"47,50 €","12,10 €",2,1
B0GLZT3DN8,B0GLZT3DN8,ROCKING GIFTS Péndulo Espiral Color Bronce 26cm para Radiestesia Limpieza Energía Sanación Chakras,15846VCI,13,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,3,0,23.08%,0.00%,"35,79 €","0,00 €",2,0
B0GLZTTBHD,B0GLZTTBHD,ROCKING GIFTS Colgante Cruz De Caravaca Pequeña 0.5 X 1cm para Protección Espiritual Amuleto Religioso Y Devoción Regalo De Fe Católica,16290VCI,9,0,0.00%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,2,0,22.22%,0.00%,"15,20 €","0,00 €",2,0
B0GLZW86C2,B0GLZW86C2,"ROCKING GIFTS Colgante De Shungit Ojo Horus 2x3.5cm, Piedra Natural De Protección Y Purificación, para Meditación, Anclaje Y Energía Positiva",17262VCI,10,1,0.01%,0.02%,14,1,0.01%,0.02%,100.00%,100.00%,2,1,20.00%,100.00%,"26,33 €","13,03 €",2,1
B0DJTS3VHD,B0GLZWNWY5,ROCKING GIFTS Pulsera Chip Pequeña De Iolita Piedra Natural Gema Meditación Espiritual 5cm Elástica con Mineral Azul Energía Sanación Y Tranquilidad para Hombre Mujer,14791VCI,36,0,0.02%,0.00%,43,0,0.02%,0.00%,100.00%,0.00%,2,0,5.56%,0.00%,"13,60 €","0,00 €",2,0
B0DGF3C6R6,B0GLZZKL7W,ROCKING GIFTS Bombita Palo Santo 4 Unidades para Limpieza Energética y Defumación Artesanal,14160VCI,17,1,0.01%,0.02%,19,1,0.01%,0.02%,94.44%,100.00%,2,0,11.76%,0.00%,"13,40 €","0,00 €",2,0
B0GM15J91L,B0GM15J91L,"ROCKING GIFTS Colgante de Prehnita Piedra Natural con Cuerda 2-4cm para Meditación Energía Equilibrio y Armonía Espiritual, Procede de Brasil",16992VCI,16,0,0.01%,0.00%,22,0,0.01%,0.00%,100.00%,0.00%,2,0,12.50%,0.00%,"38,00 €","0,00 €",2,0
B0GN44S59H,B0GM161C73,ROCKING GIFTS Péndulo Facetado de Jaspe Dálmata 4.5cm Mineral Natural Esotérico para Radiestesia Meditación Terapia Reiki Adivinación y Equilibrio.,13845VCI,12,4,0.01%,0.09%,22,11,0.01%,0.18%,100.00%,100.00%,6,6,50.00%,150.00%,"51,18 €","51,18 €",2,2
B0DJTHN3LD,B0GM1BH6S1,ROCKING GIFTS Incienso Triangular De Ámbar Hecho A Mano para Difumar Sanación Y Protección 4 Triángulos 30 Minutos,14570VCI,19,0,0.01%,0.00%,22,0,0.01%,0.00%,95.00%,0.00%,2,0,10.53%,0.00%,"20,80 €","0,00 €",2,0
B0GM1CYVLT,B0GM1CYVLT,ROCKING GIFTS Punta Pulida de Peridoto Mineral Natural Meditación Sanación Equilibrio Vitalidad Protección 1.5x0.6cm Piedra de Agosto,15672VCI,61,0,0.03%,0.00%,83,0,0.03%,0.00%,98.59%,0.00%,2,0,3.28%,0.00%,"22,80 €","0,00 €",2,0
B0DJTS3VHD,B0GM8DLCP9,ROCKING GIFTS Pulsera Chip Ágata Musgosa 5cm Terapia Natural Energía Positiva Equilibrio Emocional Meditación Piedra Sanación,5716VCI,16,1,0.01%,0.02%,24,1,0.01%,0.02%,78.26%,0.00%,2,0,12.50%,0.00%,"7,20 €","0,00 €",2,0
B0GM8FCWDC,B0GM8FCWDC,ROCKING GIFTS Salvia Sangre De Dragón Atado Purificación Limpieza Energética 3.5-11cm Sahumerio para Ritual Y Protección De California,18206VCI,12,0,0.01%,0.00%,16,0,0.01%,0.00%,93.33%,0.00%,2,0,16.67%,0.00%,"14,40 €","0,00 €",2,0
B0DJTS3VHD,B0GM8GGQY9,ROCKING GIFTS Pulsera Chip Pequeña De Lepidolita Natural 5cm para Calma Meditación Reducción De Estrés Y Ansiedad Chakra Corazón,14796VCI,51,0,0.03%,0.00%,65,0,0.02%,0.00%,100.00%,0.00%,2,0,3.92%,0.00%,"14,40 €","0,00 €",2,0
B0GXVC2GRY,B0GXFZQY86,ROCKING GIFTS Adorno de Pared Circular de Madera de Pino 60 cm - Escultura Decorativa 3D Rústica Natural para Salón o Dormitorio,33104SGRI,58,1,0.03%,0.02%,76,1,0.03%,0.02%,98.65%,0.00%,4,0,6.90%,0.00%,"173,25 €","0,00 €",2,0
B0CLM6PDCX,B005JTMHMG,"ROCKING GIFTS Reloj Solar con brujula de Bolsillo, Laton, 6 cm, Relojes de Bolsillo, Nostalgia, Clásico, marítimo, Embarcacion",50477SGFBA,181,6,0.09%,0.13%,239,10,0.09%,0.16%,95.75%,100.00%,1,1,0.55%,16.67%,"34,30 €","34,30 €",1,1
B0078FYF2O,B0078FYF2O,"Signes Grimalt - 45926 Estatuilla Arcángel Gabriel, Resina, 31 cm",45926SG,198,5,0.10%,0.11%,276,6,0.10%,0.10%,99.55%,100.00%,1,0,0.51%,0.00%,"115,20 €","0,00 €",1,0
B00FNVH7FM,B00FNVH7FM,"Signes Grimalt - Figura, Resina, Don Quijote 19 cm 70506SG",70506SG,30,0,0.02%,0.00%,43,0,0.02%,0.00%,100.00%,0.00%,1,0,3.33%,0.00%,"88,80 €","0,00 €",1,0
B00IFFVX4E,B00IFFVX4E,Dcasa - Mesa Cuadrado Plegable Gris 48x48x65 cm,245907DC,"1,257",16,0.66%,0.35%,"1,674",21,0.63%,0.33%,0.20%,16.67%,1,1,0.08%,6.25%,"44,64 €","44,64 €",1,1
B0BNMCSG3L,B00IFFW0UA,dcasa - Mesa cuadrado plegable blanca 48x48x65 cm,245910DC,346,6,0.18%,0.13%,464,6,0.17%,0.10%,71.19%,100.00%,1,0,0.29%,0.00%,"44,54 €","0,00 €",1,0
B0FNRF8GPQ,B00JJUMP9Q,"Figura Decorativa de 3 Monos Sabios, Resina, 20 cm",amzn.gr.77126SGFBA-OeSkfeVdfV6H2stp11-LN,422,10,0.22%,0.22%,598,15,0.22%,0.24%,96.28%,100.00%,1,0,0.24%,0.00%,"15,75 €","0,00 €",1,0
B0FNRF8GPQ,B00JJUMP9Q,"Figura Decorativa de 3 Monos Sabios, Resina, 20 cm",77126SG,422,10,0.22%,0.22%,598,15,0.22%,0.24%,96.28%,100.00%,1,0,0.24%,0.00%,"39,00 €","0,00 €",1,0
B00JJURU5A,B00JJURU5A,"ROCKING GIFTS Megafono Tradicional Nautico Retro en Latón Brillante - Cuerno de Llamada Henley 33 cm, Altavoz para Decoración Nautica",amzn.gr.77596SG-1gYn6tuHliXHoRhi5bJR8-AC,36,1,0.02%,0.02%,54,1,0.02%,0.02%,100.00%,100.00%,1,0,2.78%,0.00%,"28,58 €","0,00 €",1,0
B00K59US4Y,B00K59US4Y,"Pendulo 4 cuerpos con Testigo Metalico, Bronce 100% Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1640VCFBA,7,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,"10,99 €","0,00 €",1,0
B00K59VFIW,B00K59VFIW,Mineral Import Péndulo en Obsidiana Negra,1539VC,84,1,0.04%,0.02%,129,2,0.05%,0.03%,100.00%,0.00%,1,0,1.19%,0.00%,"10,95 €","0,00 €",1,0
B00K59X2CY,B00K59X2CY,Mineral Import Colgante Merkaba en Cuarzo Ahumado,1295VCFBA,56,0,0.03%,0.00%,68,0,0.03%,0.00%,98.36%,0.00%,1,0,1.79%,0.00%,"11,90 €","0,00 €",1,0
B00KAIWLMM,B00KAIWLMM,"Vives Cortada Colgante Merkaba en Cuarzo Verde, Adulto, Unisex, Collar, Verde, Cuarzo, 15 mm, 8 g, Aventurina, Pulido, Bohemio, Cumpleaños, Sin Sello, 1 Unidad",1294VCFBA,117,3,0.06%,0.07%,156,5,0.06%,0.08%,31.39%,66.67%,1,0,0.85%,0.00%,"11,99 €","0,00 €",1,0
B0BXQ47L9M,B00KAIWWPI,"ROCKING GIFTS Masajeador de Mineral de Selenita Natural, Barra, Palo, Stick, Redondo,Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",881VC,109,1,0.06%,0.02%,151,1,0.06%,0.02%,98.48%,100.00%,3,0,2.75%,0.00%,"29,85 €","0,00 €",1,0
B00KAIX58G,B00KAIX58G,"Placa adhesiva de Shungit circular protectora para telefono movil Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",2183VCFBA,26,0,0.01%,0.00%,27,0,0.01%,0.00%,50.00%,0.00%,2,0,7.69%,0.00%,"14,24 €","0,00 €",1,0
B00KAIXGN0,B00KAIXGN0,"Colgante de Calcedonia. Baño de Plata Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1131VC,19,0,0.01%,0.00%,23,0,0.01%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,"14,95 €","0,00 €",1,0
B0CNKWMYRT,B00KAIYA7Q,"ROCKING GIFTS Colgante Pendulo Shungit, Shungita, Autentica, Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",2064VC,282,7,0.15%,0.15%,382,7,0.14%,0.11%,100.00%,100.00%,1,0,0.35%,0.00%,"10,80 €","0,00 €",1,0
B00KAIYQCK,B00KAIYQCK,"Pendulo Metalico Espiral Dorado Grande Minerales y Cristales para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1666VC,57,1,0.03%,0.02%,83,1,0.03%,0.02%,98.59%,100.00%,1,0,1.75%,0.00%,"6,25 €","0,00 €",1,0
B00KAIYR0G,B00KAIYR0G,Péndulo Metálico Espiral Plateado Grande,1665VCFBA,12,0,0.01%,0.00%,24,0,0.01%,0.00%,100.00%,0.00%,1,0,8.33%,0.00%,"9,95 €","0,00 €",1,0
B00KAIZCNM,B00KAIZCNM,"Péndulo con Forma de Espiral, Color Dorado Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",1014VCFBA,26,0,0.01%,0.00%,36,0,0.01%,0.00%,100.00%,0.00%,1,0,3.85%,0.00%,"8,95 €","0,00 €",1,0
B00N997ZIY,B00N997ZIY,"Figura Resina, Clásico CHANGO",16897SG,17,0,0.01%,0.00%,34,0,0.01%,0.00%,95.45%,0.00%,1,0,5.88%,0.00%,"81,80 €","0,00 €",1,0
B00N998AG0,B00N998AG0,"Figura Resina, Classic OYA",16797SG,23,0,0.01%,0.00%,41,0,0.02%,0.00%,91.18%,0.00%,1,0,4.35%,0.00%,"86,40 €","0,00 €",1,0
B00ONFFGPW,B00ONFFGPW,"Pinchero Molino de Madera, con 6 pinchos para aperitivos",161SGT,26,1,0.01%,0.02%,27,1,0.01%,0.02%,96.00%,100.00%,1,0,3.85%,0.00%,"13,00 €","0,00 €",1,0
B00OTXGO86,B00OTXGO86,Péndulo Bronce Mermet con testigo,2374VC,29,0,0.02%,0.00%,35,0,0.01%,0.00%,100.00%,0.00%,1,0,3.45%,0.00%,"9,50 €","0,00 €",1,0
B00OTXGO86,B00OTXGO86,Péndulo Bronce Mermet con testigo,2374VCFBA,29,0,0.02%,0.00%,35,0,0.01%,0.00%,100.00%,0.00%,1,0,3.45%,0.00%,"14,95 €","0,00 €",1,0
B00T6QFW4S,B00T6QFW4S,Caja Madera con Baraja Cartas,90076SG,68,0,0.04%,0.00%,100,0,0.04%,0.00%,96.30%,0.00%,1,0,1.47%,0.00%,"18,30 €","0,00 €",1,0
B010TMBDSG,B010TMBDSG,"Mineral Import: Aragonito en Bruto Calidad Extra, Belleza energética, Meditación, Amuletos Espirituales - Colgante de Ocasión Boda - Rústico, Espiritual, Boho - Marrón",1007VC,155,3,0.08%,0.07%,194,5,0.07%,0.08%,98.87%,100.00%,1,0,0.65%,0.00%,"9,50 €","0,00 €",1,0
B010TMDWBC,B010TMDWBC,"Monolito de Selenita Grande, Minerales y Cristales Para Curación, Belleza Energética, Meditacion, Medicina Alternativa, Amuletos Espirituales",880VC,253,7,0.13%,0.15%,340,7,0.13%,0.11%,99.68%,100.00%,1,0,0.40%,0.00%,"12,40 €","0,00 €",1,0
B010TME9SM,B010TME9SM,Vives Cortada Paquete de Shungit y TulikiviMoulder,2860VC,37,1,0.02%,0.02%,45,1,0.02%,0.02%,95.12%,0.00%,2,0,5.41%,0.00%,"19,00 €","0,00 €",1,0
B010TMG16A,B010TMG16A,"ROCKING GIFTS Piedra Cuarzo Blanco Plana (1 Unidad), Piedras Naturales y Originales, Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",942VC,103,6,0.05%,0.13%,115,7,0.04%,0.11%,100.00%,100.00%,1,0,0.97%,0.00%,"5,80 €","0,00 €",1,0
B010TMGD1I,B010TMGD1I,"Vives Cortada Colgante, Moldeador, Cuarzo Transparente Chapado en Plata",2502VCFBA,41,1,0.02%,0.02%,60,1,0.02%,0.02%,100.00%,100.00%,1,0,2.44%,0.00%,"8,96 €","0,00 €",1,0
B010TMIA46,B010TMIA46,"ROCKING GIFTS Baño plateado con colgante de Agata natural, minerales y cristales originales en piedra natural, belleza energética, meditación, amuletos espirituales, 4x3 cm, ágata 4x3 cm, ágata, 4x3",1682VC,12,0,0.01%,0.00%,12,0,0.00%,0.00%,100.00%,0.00%,1,0,8.33%,0.00%,"8,30 €","0,00 €",1,0
B010TMJ2C0,B010TMJ2C0,"Piedra Rodado Plano Ojo de Halcon Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1965VC,53,0,0.03%,0.00%,65,0,0.02%,0.00%,91.94%,0.00%,1,0,1.89%,0.00%,"9,95 €","0,00 €",1,0
B010TMJEQY,B010TMJEQY,"Colgante Estrella de Cuarzo Transparente Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2871VC,38,0,0.02%,0.00%,54,0,0.02%,0.00%,100.00%,0.00%,1,0,2.63%,0.00%,"11,25 €","0,00 €",1,0
B010TMKQU2,B010TMKQU2,"Colgante Lagrima de Cuarzo Azul Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2873VC,41,0,0.02%,0.00%,51,0,0.02%,0.00%,100.00%,0.00%,2,0,4.88%,0.00%,"18,00 €","0,00 €",1,0
B010TMNNV6,B010TMNNV6,"Piramide Shungit sin Pulir 10x10 cm Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2491VC,5,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,"55,80 €","0,00 €",1,0
B010TMQKIO,B010TMQKIO,"Pulsera Chip de Ojo de Buey Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1968VC,44,0,0.02%,0.00%,61,0,0.02%,0.00%,98.15%,0.00%,1,0,2.27%,0.00%,"7,35 €","0,00 €",1,0
B010TMRBH8,B010TMRBH8,"Vives Cortada Pulsera de turmalina negra, Turmalina",1705VCFBA,7,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,"9,99 €","0,00 €",1,0
B010TMRUDI,B010TMRUDI,"Pulsera Elastica Bolas de Cuarzo Blanco de 4 mm Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",1700VCFBA,40,0,0.02%,0.00%,46,0,0.02%,0.00%,97.37%,0.00%,1,0,2.50%,0.00%,"9,99 €","0,00 €",1,0
B010TMW0U6,B010TMW0U6,"Donut Mediano de Ojo de Hierro para Colgante Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",814VCFBA,20,0,0.01%,0.00%,25,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,"9,99 €","0,00 €",1,0
B010TMY9GY,B010TMY9GY,Mineral Import - Puntas de Cuarzo Blanco en Bruto Medianas (pack de 500 gr) - 2162VC,2162VC,23,0,0.01%,0.00%,29,0,0.01%,0.00%,88.89%,0.00%,1,0,4.35%,0.00%,"29,95 €","0,00 €",1,0
B010TN6SXU,B010TN6SXU,"Gypsita en Bruto Cristalizada Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",2450VC,3,0,0.00%,0.00%,4,0,0.00%,0.00%,75.00%,0.00%,1,0,33.33%,0.00%,"8,05 €","0,00 €",1,0
B010TNA3GS,B010TNA3GS,Mineral Import - Llavero de Citrino - 1204VC,1204VC,9,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,"10,55 €","0,00 €",1,0
B0DJTGX33L,B01BD4Z2AO,"ROCKING GIFTS Adorno de Pared x2 Lagartos, Metal, 15 cm, decoración de Pared, jardín al Aire Libre, Figura de Lagartos, decoración de Metal, Colgante, para Patio o Valla, Terraza, Exterior",43017SG,183,6,0.10%,0.13%,241,8,0.09%,0.13%,100.00%,100.00%,1,0,0.55%,0.00%,"20,95 €","0,00 €",1,0
B01BD50140,B01BD50140,"Set de 6 Llaves Antiguas Decorativas en Metal con Acabado Vintage de 20 cm de Largo, Decorar tu casa, Oficina o Negocio",1676SGFBA,29,0,0.02%,0.00%,44,0,0.02%,0.00%,100.00%,0.00%,1,0,3.45%,0.00%,"18,50 €","0,00 €",1,0
B01HN3CCB6,B01HN3CCB6,"Placa Pared Decorativa, Para Colgar, 30x30 cm, Surf Area, Metalica, Color amarillo, Cuadros Decoracion Casa para Cocina, Jardin, Casa, Pub, Oficina. Retro Art Pintura Aluminio. Gran Selección",2150SG,29,0,0.02%,0.00%,40,0,0.02%,0.00%,100.00%,0.00%,1,0,3.45%,0.00%,"19,20 €","0,00 €",1,0
B01HU3SJAW,B01HU3SJAW,Madelcar - BOQUILLA DENICOTEA LADY AUTOM. MARFIL+10 FILTROS - 30168MD,30168MDFBA,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,"22,00 €","0,00 €",1,0
B01HU3SMTU,B01HU3SMTU,"Boquilla Denicotea de madera 20 mm Robusto - Boquilla de madera para cigarros con acabado de grano fino y diseño ergonómico, perfecta para fumadores expertos",30059MDFBA,20,1,0.01%,0.02%,23,2,0.01%,0.03%,95.45%,100.00%,1,0,5.00%,0.00%,"49,99 €","0,00 €",1,0
