sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
10486VC	B0BRYKPQFN	50.50	11	49.49	fixed	6	42.93	12	37.88	18	36.87	50	35.35											
10535VC	B0BRYKCMY4	14.75	6174	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10552VC	B0BRYK6958	24.90	134	24.4	fixed	6	21.17	12	18.68	18	18.18	50	17.43											false
10569VCORI	B0DFZQHMCT	342.50	4	335.65	fixed	6	291.13	12	256.88	18	250.03	50	239.75											
10602VC	B0BRYLTZ3D	78.30	180	76.73	fixed	6	66.56	12	58.73	18	57.16	50	54.81											
10604VC	B0BRYKS6JT	51.80	24	50.76	fixed	6	44.03	12	38.85	18	37.82	50	36.26											
10615VC	B0BRYL75RK	17.25	308	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10616VCFBA	B0BRYHMS4J	11.25		11.03	fixed	6	9.57	12	8.44	18	8.22	50	7.88											
10617VCFBA	B0BRYJCP1B	13.36		13.97	fixed	6	12.12	12	10.69	18	10.41	50	9.98											
10618VC	B0BRYKGMQQ	17.25	241	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10619VC	B0BRYK5ZD9	17.25	325	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10620VC	B0BRYLR6WW	17.25	12	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10622VC	B0BRYK4HG8	17.25	75	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10623VC	B0BRYJZ65S	19.55	39	19.16	fixed	6	16.62	12	14.67	18	14.28	50	13.69											
10624VC	B0BRYKNKK7	17.25	344	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10625VC	B0BRYLFCQY	17.25	138	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10626VC	B0BRYKQLG9	14.30	11	14.01	fixed	6	12.16	12	10.73	18	10.44	50	10.01											
10627VC	B0BRYMBXWD	17.25	402	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10628VC	B0BRYLBKZP	17.25	538	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10629VC	B0BRYLLQ52	17.25	462	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10630VC	B0BRYK5X7Y	17.25	621	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10631VC	B0BRYKRNWH	17.25	425	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10632VC	B0BRYKDSTR	17.25	252	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10633VC	B0BRYK199S	17.25	390	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10634VC	B0BRYKGKKP	17.25	400	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10635VC	B0BRYKRLHD	17.25	364	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10636VC	B0BRYKHZ83	17.25	259	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10637VCT	B0CV4C9N84	17.25	138	16.91	fixed	6	14.67	12	12.94	18	12.60	50	12.08											
10640VC	B0BRYKP3HL	15.35	77	15.04	fixed	6	13.05	12	11.52	18	11.21	50	10.75											false
10641VC	B0BRYL7GYF	15.50	132	15.19	fixed	6	13.18	12	11.63	18	11.32	50	10.85											false
10642VC	B0BRYM49RD	15.80	274	15.48	fixed	6	13.43	12	11.85	18	11.54	50	11.06											false
1078VC	B076MM3XKZ	133.00	17459	130.34	fixed	6	113.05	12	99.75	18	97.09	50	93.10											
1079VC0	B076NBN9CQ	67.40	5	66.05	fixed	6	57.29	12	50.55	18	49.21	50	47.18											
10815VC	B0CL377B97	14.05	277	13.77	fixed	6	11.95	12	10.54	18	10.26	50	9.84											
10817VC	B0CL3C2DZL	16.05	65	15.73	fixed	6	13.65	12	12.04	18	11.72	50	11.24											
10818VC	B0CL39FFJG	16.05	45	15.73	fixed	6	13.65	12	12.04	18	11.72	50	11.24											
1082VC	B076MKQRF9	70.50	251	69.09	fixed	6	59.93	12	52.88	18	51.47	50	49.35											
1088VCT	B0CV4DH753	70.50	14436	69.09	fixed	6	59.93	12	52.88	18	51.47	50	49.35											
10979SG	B06XWMKRN9	44.10	59	43.22	fixed	6	37.49	12	33.08	18	32.20	50	30.87											
10987VC	B0CL3C1Y4W	28.60	6853	28.03	fixed	6	24.31	12	21.45	18	20.88	50	20.02											
10988VC	B0CL3BD3WP	26.00	6638	25.48	fixed	6	22.10	12	19.50	18	18.98	50	18.20											
10989VC	B0CL3BN176	28.90	515	28.32	fixed	6	24.57	12	21.68	18	21.10	50	20.23											
10990VC	B0CL3C3T6C	14.75	3371	14.46	fixed	6	12.54	12	11.07	18	10.77	50	10.33											
10991VC	B0CL3B58K4	19.30	993	18.91	fixed	6	16.41	12	14.48	18	14.09	50	13.51											
1102VC	B010TN9IDW	62.70	94905	61.45	fixed	6	53.30	12	47.03	18	45.78	50	43.89											
11032VC	B0CLBC9RG5	29.80	7309	29.2	fixed	6	25.33	12	22.35	18	21.76	50	20.86											
11033VC	B0CLBFN57S	39.50	1282	38.71	fixed	6	33.58	12	29.63	18	28.84	50	27.65											
11034VC	B0CLBF122F	34.30	7760	33.61	fixed	6	29.16	12	25.73	18	25.04	50	24.01											
1103VC	B010TN567Y	78.30	73583	76.73	fixed	6	66.56	12	58.73	18	57.16	50	54.81											
11040VC	B0CLBF22KK	24.90	4481	24.4	fixed	6	21.17	12	18.68	18	18.18	50	17.43											
11041VC	B0CLBF22KD	17.40	4774	17.05	fixed	6	14.79	12	13.05	18	12.71	50	12.18											
11043VC	B0CL3BRC8V	34.30	6757	33.61	fixed	6	29.16	12	25.73	18	25.04	50	24.01											
11044VC	B0CLBD542M	17.40	677	17.05	fixed	6	14.79	12	13.05	18	12.71	50	12.18											
11045VC	B0CLBFJ5Z6	13.00	3185	12.74	fixed	6	11.05	12	9.75	18	9.49	50	9.10											
